,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
263,264,002123,梦网科技,15.44,3.76,0.56,1077419.0,1637713507.67,7.46,15.71,14.6,14.88,14.88,1.77,14.96,832.78,7.01,12435355774.0,11117535222.0,0.0,0.13,-13.26,42.83
264,265,600287,ST舜天,5.53,3.75,0.2,97134.0,52986247.0,4.5,5.54,5.3,5.33,5.33,2.0,2.22,73.39,1.14,2426829296.0,2415482289.0,0.0,0.0,23.44,31.67
265,266,002554,惠博普,2.78,3.73,0.1,412442.0,113951573.0,5.22,2.81,2.67,2.69,2.68,1.99,3.09,30.15,1.58,3707741800.0,3707049102.0,0.0,0.0,16.32,10.76
266,267,601128,常熟银行,7.24,3.72,0.26,783298.0,559114573.0,3.72,7.25,6.99,6.99,6.98,1.39,2.36,5.54,0.85,24011352117.0,24011352117.0,0.14,0.14,19.28,8.87
267,268,002148,北纬科技,7.24,3.72,0.26,406498.0,286631115.62,5.01,7.24,6.89,6.98,6.98,1.24,9.05,-133.13,3.34,4043375869.0,3253059504.0,0.14,0.56,-5.73,9.86
268,269,603655,朗博科技,29.3,3.72,1.05,42488.0,124127949.0,6.65,29.89,28.01,28.01,28.25,0.81,4.01,75.41,5.73,3105800000.0,3105800000.0,0.14,0.07,26.68,20.63
269,270,002800,天顺股份,13.69,3.71,0.49,214374.0,292323781.26,8.26,14.2,13.11,13.11,13.2,2.11,15.13,269.35,4.0,2084344487.0,1939244629.0,0.07,0.22,27.94,32.66
270,271,688152,麒麟信安,57.09,3.71,2.04,20116.0,114189714.0,6.9,58.14,54.34,55.05,55.05,2.53,6.48,-82.14,3.63,4495188901.0,1773137701.0,0.02,0.0,-18.48,9.7
271,272,688311,盟升电子,39.09,3.71,1.4,36240.0,141067257.0,4.88,39.44,37.6,37.8,37.69,1.61,2.16,-109.14,4.09,6563740474.0,6563740474.0,0.0,-0.03,1.03,18.06
272,273,002830,名雕股份,14.8,3.71,0.53,27306.0,40087715.4,5.68,15.0,14.19,14.58,14.27,1.32,4.08,169.06,3.08,1973432000.0,989417000.0,0.0,0.2,14.11,20.92
273,274,603166,福达股份,15.92,3.71,0.57,356675.0,550393402.0,8.08,16.06,14.82,15.39,15.35,1.71,5.58,39.5,4.29,10287641724.0,10173017724.0,0.0,0.06,27.36,122.04
274,275,600238,*ST椰岛,6.47,3.69,0.23,143201.0,91600032.0,5.13,6.52,6.2,6.21,6.24,1.03,3.22,-111.44,28.47,2899854000.0,2879160223.0,0.0,0.0,-6.77,-15.31
275,276,002217,*ST合泰,2.25,3.69,0.08,1159902.0,262915493.5,4.61,2.28,2.18,2.19,2.17,3.03,2.04,1029.98,9.05,16828647588.0,12780819626.0,0.0,0.0,9.76,-5.86
276,277,603616,韩建河山,4.24,3.67,0.15,177195.0,74425859.0,4.65,4.28,4.09,4.09,4.09,1.85,4.65,107.58,6.99,1659188320.0,1617000320.0,0.47,0.47,21.14,20.8
277,278,605183,确成股份,16.96,3.67,0.6,56954.0,95471607.0,4.4,17.03,16.31,16.41,16.36,2.12,1.37,12.8,2.03,7053378139.0,7053378139.0,0.06,0.06,-5.25,0.65
278,279,002012,凯恩股份,5.65,3.67,0.2,264962.0,148743486.83,5.32,5.71,5.42,5.44,5.45,2.05,5.68,131.05,1.73,2642083906.0,2635937672.0,0.36,0.18,20.73,9.5
279,280,837344,三元基因,25.24,3.66,0.89,44957.0,113849856.03,7.47,26.18,24.36,24.5,24.35,0.89,3.96,-62.74,5.05,3074484400.0,2866274491.0,0.16,-0.16,9.41,41.88
280,281,300925,法本信息,22.09,3.66,0.78,313813.0,706336551.25,6.71,23.34,21.91,22.0,21.31,3.52,9.49,86.08,4.46,9470180595.0,7302481561.0,-0.05,0.05,-18.79,-0.59
281,282,688229,博睿数据,52.66,3.64,1.85,13237.0,69553034.0,5.94,53.68,50.66,50.81,50.81,1.6,2.98,-63.5,5.69,2338104000.0,2338104000.0,-0.23,-0.27,-11.47,25.95
282,283,003002,壶化股份,27.79,3.62,0.97,80907.0,224257223.8,6.15,28.31,26.66,26.66,26.82,2.69,4.42,59.33,4.11,5558000000.0,5082082355.0,0.07,0.0,10.72,24.01
283,284,300836,佰奥智能,43.0,3.61,1.5,23271.0,98277264.76,4.22,43.1,41.35,41.35,41.5,0.72,3.68,106.28,7.63,3985481230.0,2718022991.0,0.56,0.82,12.8,48.84
284,285,300607,拓斯达,34.33,3.59,1.19,467437.0,1587428222.99,7.24,35.0,32.6,32.89,33.14,1.62,13.84,1061.96,5.85,16374462904.0,11592897254.0,-0.15,-0.26,-7.94,34.68
285,286,300575,中旗股份,6.98,3.56,0.24,868473.0,604850172.75,8.16,7.2,6.65,6.75,6.74,1.12,25.34,-23.78,1.57,3243999672.0,2392103348.0,0.0,0.0,16.14,15.95
286,287,603367,辰欣药业,14.89,3.55,0.51,158012.0,232951153.0,3.96,15.0,14.43,14.46,14.38,1.86,3.49,11.74,1.11,6741508981.0,6741508981.0,0.13,0.07,11.54,8.37
287,288,834765,美之高,24.58,3.54,0.84,17184.0,41393281.29,5.52,24.73,23.42,23.7,23.74,0.92,3.91,2950.53,5.47,1711088622.0,1081453511.0,-0.12,-0.16,3.89,-27.83
288,289,603727,博迈科,14.69,3.52,0.5,57107.0,82843993.0,5.43,14.77,14.0,14.0,14.19,2.31,2.03,89.26,1.31,4138456179.0,4138456179.0,-0.07,0.07,4.56,30.81
289,290,603316,诚邦股份,7.06,3.52,0.24,103804.0,72798814.0,4.84,7.15,6.82,6.84,6.82,1.86,3.93,157.59,2.86,1865703840.0,1865703840.0,0.0,0.0,12.96,50.21
290,291,603608,天创时尚,5.31,3.51,0.18,73868.0,38713248.0,3.51,5.33,5.15,5.15,5.13,0.92,1.76,-579.88,2.16,2228689018.0,2228689018.0,0.0,-0.19,29.83,42.74
291,292,603477,巨星农牧,22.44,3.51,0.76,278316.0,620648596.0,6.18,22.84,21.5,21.72,21.68,0.96,5.46,22.07,3.61,11445977397.0,11445977397.0,0.0,0.09,25.36,26.42
292,293,603527,众源新材,10.32,3.51,0.35,177611.0,181667311.0,4.91,10.43,9.94,9.99,9.97,2.79,5.6,11.35,1.61,3271142784.0,3271142784.0,0.19,0.49,1.08,7.61
293,294,301013,利和兴,17.71,3.51,0.6,209244.0,370668083.8,6.6,18.18,17.05,17.05,17.11,1.02,11.06,-212.32,5.0,4139589522.0,3351469409.0,0.06,0.45,-16.11,50.72
294,295,688021,奥福科技,14.19,3.5,0.48,16457.0,22983360.0,5.25,14.27,13.55,13.76,13.71,1.5,2.15,-82.9,1.27,1084310644.0,1084310644.0,0.28,-0.14,20.97,35.92
295,296,301500,飞南资源,20.8,3.48,0.7,84509.0,175459307.4,5.12,21.11,20.08,20.1,20.1,2.92,8.21,413.6,1.85,8363696182.0,2140181347.0,0.0,0.05,-0.67,15.56
296,297,002645,华宏科技,8.63,3.48,0.29,290480.0,250955750.56,7.19,8.88,8.28,8.33,8.34,3.26,5.66,40.3,1.54,5018584560.0,4425938219.0,0.0,0.0,13.55,26.54
297,298,603285,键邦股份,24.06,3.44,0.8,70202.0,168704131.0,7.7,24.84,23.05,23.26,23.26,2.0,17.55,26.27,2.4,3849600000.0,962400000.0,0.0,0.08,5.48,6.46
298,299,301665,泰禾股份,30.36,3.44,1.01,83040.0,251107046.05,5.96,30.81,29.06,29.13,29.35,1.56,23.13,43.49,4.12,13662000000.0,1090114934.0,0.0,-0.23,195.62,195.62
299,300,002757,南兴股份,19.94,3.42,0.66,286953.0,563602869.71,6.59,20.16,18.89,19.14,19.28,2.26,10.17,34.1,2.96,5891390905.0,5624155185.0,-0.05,0.1,-17.77,30.07
300,301,301227,森鹰窗业,19.94,3.42,0.66,49424.0,97473487.56,6.22,20.35,19.15,19.72,19.28,2.37,14.56,-59.52,1.15,1898896170.0,676662405.0,-1.04,-1.63,15.93,23.09
301,302,833284,灵鸽科技,29.3,3.42,0.97,139797.0,414438196.95,10.31,30.97,28.05,28.5,28.33,1.58,20.63,200.85,9.88,3070219399.0,1985435830.0,0.0,0.48,8.52,92.13
302,303,600568,ST中珠,1.82,3.41,0.06,519177.0,93617060.0,6.25,1.85,1.74,1.77,1.76,1.63,3.11,-51.0,2.09,3627022819.0,3037702448.0,0.55,0.55,43.31,40.0
303,304,301288,*ST清研,13.04,3.41,0.43,20616.0,26460361.0,3.97,13.04,12.54,12.66,12.61,1.5,4.38,-294.98,1.74,1408450400.0,614091729.0,0.08,0.23,-1.66,-14.94
304,305,688601,力芯微,36.8,3.4,1.21,39972.0,145339047.0,4.83,36.98,35.26,35.59,35.59,2.48,2.99,123.32,4.03,4919891360.0,4919891360.0,-0.11,-0.08,-17.34,-11.18
305,306,300890,翔丰华,29.53,3.4,0.97,132246.0,388943919.64,5.78,29.99,28.34,28.51,28.56,1.5,12.18,-107.81,1.74,3515018385.0,3206758111.0,0.0,0.07,-9.58,-2.41
306,307,300567,精测电子,60.0,3.39,1.97,81505.0,486635514.05,5.98,60.99,57.52,57.56,58.03,2.9,4.03,111.61,4.72,16784602140.0,12131018400.0,-0.08,-0.1,-11.61,-6.69
307,308,002424,ST百灵,4.28,3.38,0.14,593101.0,254804104.88,5.56,4.35,4.12,4.12,4.14,3.09,4.89,61.87,1.87,5981721152.0,5192558111.0,-0.23,-0.47,10.88,11.17
308,309,001255,博菲电气,31.01,3.37,1.01,30824.0,94887051.92,4.33,31.29,29.99,30.04,30.0,1.4,15.41,215.59,3.43,2480800000.0,620200000.0,0.0,0.03,8.54,9.38
309,310,688303,大全能源,19.65,3.37,0.64,102287.0,200630341.0,4.31,19.85,19.03,19.03,19.01,2.34,1.85,-18.89,1.06,42153292477.0,10860667477.0,0.1,0.15,-6.61,-18.6
310,311,600355,*ST精伦,3.08,3.36,0.1,360284.0,110231334.0,5.03,3.12,2.97,2.97,2.98,0.81,7.32,-38.73,12.35,1515634736.0,1515634736.0,0.0,0.33,-22.03,-9.68
311,312,600326,西藏天路,8.09,3.32,0.26,1522365.0,1244621364.0,7.92,8.45,7.83,7.83,7.83,1.67,11.51,-21.58,2.9,10705846868.0,10698963112.0,-0.12,0.25,14.27,25.23
312,313,600846,同济科技,9.96,3.32,0.32,125126.0,123325748.0,3.84,10.0,9.63,9.64,9.64,1.41,2.0,17.78,1.49,6222624699.0,6222624699.0,0.1,0.2,13.57,15.55
313,314,920099,瑞华技术,34.0,3.31,1.09,22311.0,75676228.99,4.86,34.53,32.93,33.0,32.91,2.43,5.66,40.56,3.15,2665599932.0,1339070722.0,1.04,0.92,6.99,17.89
314,315,000981,山子高科,2.19,3.3,0.07,5323918.0,1155009262.73,4.72,2.22,2.12,2.12,2.12,1.04,5.6,66.08,18.49,21894461245.0,20834172482.0,0.0,0.46,-3.1,9.5
315,316,836892,广咨国际,15.95,3.3,0.51,38056.0,60621129.81,6.28,16.28,15.31,15.5,15.44,1.87,2.6,102.1,8.03,2717104080.0,2332146301.0,0.13,0.31,32.59,69.14
316,317,688080,映翰通,51.64,3.3,1.65,25692.0,129564841.0,6.5,51.85,48.6,49.9,49.99,1.05,3.48,42.81,3.58,3813709121.0,3813709121.0,-0.12,0.16,-5.77,56.87
317,318,002550,千红制药,8.49,3.28,0.27,1519053.0,1253419280.38,5.96,8.49,8.0,8.24,8.22,0.77,15.86,16.88,4.3,10865502000.0,8131209034.0,0.12,1.19,55.49,39.64
