,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
288,289,百度概念,BK0845,1671.27,-3.86,-0.23,2506857376000,2.75,53,93,中嘉博创,10.09
289,290,深证100R,BK0743,1058.9,-2.44,-0.23,12482943744000,0.64,41,57,天孚通信,3.04
290,291,IGBT概念,BK1048,770.83,-1.77,-0.23,2124342192000,0.85,12,27,博菲电气,3.37
291,292,国产软件,BK0696,3254.52,-7.55,-0.23,2983952240000,3.35,99,133,石基信息,10.01
292,293,地摊经济,BK0924,1918.42,-4.37,-0.23,665933328000,1.65,12,19,久量股份,6.16
293,294,化债(AMC)概念,BK0980,1045.22,-2.54,-0.24,945912912000,1.37,28,27,海南高速,5.33
294,295,数字阅读,BK0959,1549.64,-3.7,-0.24,191052920000,1.15,4,14,立昂技术,2.15
295,296,柔性屏(折叠屏),BK1160,1316.46,-3.19,-0.24,917872128000,1.53,29,44,*ST合泰,3.69
296,297,虚拟现实,BK0722,1056.11,-2.52,-0.24,3153759600000,2.33,76,138,二六三,10.05
297,298,低空经济,BK1166,1429.86,-3.47,-0.24,3425175264000,2.69,84,158,永悦科技,10.03
298,299,第三代半导体,BK0952,1343.2,-3.48,-0.26,1625118032000,1.91,43,65,国科微,5.48
299,300,医疗美容,BK0889,1632.07,-4.55,-0.28,1026559232000,1.51,24,40,常山药业,15.12
300,301,辅助生殖,BK0939,984.35,-2.81,-0.28,525389696000,2.2,18,35,众生药业,4.04
301,302,独角兽,BK0835,1710.35,-4.95,-0.29,4938400512000,1.54,42,67,中衡设计,10.02
302,303,生物识别,BK0970,1491.55,-4.35,-0.29,1015505280000,2.74,22,28,星宸科技,4.07
303,304,内贸流通,BK1001,1273.35,-3.69,-0.29,1459708736000,1.96,55,100,厦门信达,10.08
304,305,屏下摄像,BK0947,912.56,-2.64,-0.29,492759344000,1.01,4,5,*ST合泰,3.69
305,306,体育产业,BK0708,1307.08,-3.75,-0.29,782868480000,2.74,25,38,XD共创草,10.0
306,307,娃哈哈概念,BK1165,1220.79,-3.58,-0.29,101846530000,3.2,8,11,冰山冷热,1.99
307,308,高压快充,BK1144,1113.04,-3.33,-0.3,423148304000,3.47,19,27,奥 特 迅,4.95
308,309,虚拟电厂,BK0958,1842.07,-5.58,-0.3,608481504000,2.61,21,31,新联电子,10.05
309,310,苹果概念,BK0666,2936.2,-8.75,-0.3,2471951408000,1.27,45,79,杰普特,12.18
310,311,电子烟,BK0865,1777.61,-5.26,-0.3,838060592000,2.42,17,33,银禧科技,8.23
311,312,养老概念,BK0653,2583.06,-8.09,-0.31,2870709744000,1.5,43,77,新华锦,9.98
312,313,代糖概念,BK0938,1050.56,-3.23,-0.31,152276460000,1.51,6,9,醋化股份,1.63
313,314,传感器,BK0905,1705.29,-5.49,-0.32,1568626320000,2.19,34,65,中电鑫龙,9.96
314,315,生物疫苗,BK0548,26880.15,-86.08,-0.32,1064478176000,1.58,33,36,神州细胞,6.88
315,316,精准医疗,BK0806,1002.69,-3.35,-0.33,591425120000,2.39,14,32,ST峡创,8.4
316,317,茅指数,BK0999,685.7,-2.24,-0.33,12762772480000,0.55,13,29,恒立液压,2.92
317,318,Chiplet概念,BK1101,1436.69,-4.88,-0.34,650996832000,2.18,14,15,润欣科技,2.34
318,319,氮化镓,BK0916,1258.22,-4.26,-0.34,914676096000,1.63,19,29,ST易事特,2.47
319,320,痘病毒防治,BK1085,815.86,-2.75,-0.34,657450816000,2.27,19,36,海辰药业,20.0
320,321,托育服务,BK1074,728.3,-2.45,-0.34,49391425000,2.9,5,2,ST易联众,2.4
321,322,新能源车,BK0900,1907.31,-6.55,-0.34,11516471552000,2.08,232,374,华体科技,10.01
322,323,麒麟电池,BK1092,1230.54,-4.34,-0.35,1220535120000,1.75,2,6,富临精工,2.02
323,324,次新股,BK0501,27494.09,-100.15,-0.36,927161104000,7.51,41,64,博苑股份,7.69
324,325,光刻机(胶),BK0884,2744.96,-10.3,-0.37,805557312000,2.92,31,55,华亚智能,5.63
325,326,卫星互联网,BK0921,1402.19,-5.2,-0.37,518026208000,3.23,9,31,华体科技,10.01
326,327,调味品概念,BK1026,948.1,-3.58,-0.38,696805088000,1.37,12,20,莲花控股,1.93
327,328,通用航空,BK0625,5600.57,-21.19,-0.38,1030146464000,1.21,12,21,山河智能,2.42
328,329,DRG/DIP,BK1054,1032.35,-3.89,-0.38,168495285000,2.34,6,13,ST易联众,2.4
329,330,英伟达概念,BK1161,1377.02,-5.3,-0.38,1277466560000,2.21,15,28,青云科技-U,15.31
330,331,激光雷达,BK1002,1470.51,-5.64,-0.38,415343904000,1.89,13,23,仕佳光子,7.11
331,332,区块链,BK0830,1046.03,-4.02,-0.38,8142693632000,1.33,72,143,中嘉博创,10.09
332,333,财税数字化,BK1176,1707.6,-6.5,-0.38,501975328000,3.33,20,21,慧博云通,4.85
333,334,退税商店,BK0933,1235.2,-4.8,-0.39,177057888000,0.75,3,8,南宁百货,0.82
334,335,网红经济,BK0940,698.36,-2.74,-0.39,1619728912000,2.48,47,79,二六三,10.05
335,336,互联金融,BK0637,4888.08,-19.6,-0.4,19568446720000,0.52,63,127,盛达资源,10.0
336,337,EDR概念,BK1049,1589.71,-6.36,-0.4,275127680000,2.67,4,10,兴民智通,2.66
337,338,阿里概念,BK0689,2444.91,-9.97,-0.41,2920081344000,1.79,45,75,石基信息,10.01
338,339,移动支付,BK0556,12302.34,-51.47,-0.42,3525467216000,2.89,26,43,石基信息,10.01
339,340,食品安全,BK0614,6427.12,-26.82,-0.42,367098768000,2.57,17,25,石基信息,10.01
340,341,航母概念,BK0715,869.8,-3.71,-0.42,1052025280000,1.02,15,19,海兰信,2.76
341,342,华为昇腾,BK0995,1395.75,-5.89,-0.42,508793584000,3.11,8,25,利和兴,3.51
342,343,华为汽车,BK0984,1994.37,-8.41,-0.42,1583905536000,2.26,35,65,ST八菱,4.78
343,344,碳化硅,BK0977,1318.02,-5.56,-0.42,526480320000,1.7,10,25,楚江新材,2.62
344,345,无人驾驶,BK0802,1770.45,-7.66,-0.43,5682543104000,2.0,79,163,青云科技-U,15.31
345,346,3D摄像头,BK0901,1417.81,-6.18,-0.43,530161152000,1.72,3,7,*ST合泰,3.69
346,347,商业航天,BK0963,1668.62,-7.24,-0.43,1577130768000,3.99,47,104,西测测试,11.06
